t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.128000,6.860091e-04,3.746903e-04,0.000000e+00,8.285622e-04,5.820854e-03
0.129000,1.245399e-02,4.052431e-04,0.000000e+00,1.276467e-02,9.104292e-04
0.130000,4.172927e-06,4.896384e-04,0.000000e+00,2.313357e-06,1.073261e-03
0.131000,4.626393e-04,5.465977e-04,0.000000e+00,3.247920e-04,7.436206e-04
0.132000,3.198082e-03,5.365417e-04,0.000000e+00,3.699267e-03,2.526706e-03
0.133000,7.380348e-04,4.776054e-04,0.000000e+00,6.537043e-04,1.532584e-03
0.134000,5.696113e-04,4.251759e-04,0.000000e+00,4.484581e-04,9.054748e-04
0.135000,5.938597e-03,3.062606e-04,0.000000e+00,5.397339e-03,2.142307e-04
0.136000,1.473413e-06,2.369574e-04,0.000000e+00,3.098329e-05,1.731331e-04
0.137000,5.967741e-04,3.100578e-04,0.000000e+00,9.602584e-04,2.653555e-04
0.138000,5.838866e-04,2.991868e-04,0.000000e+00,8.644732e-04,5.619369e-04
0.139000,5.719233e-03,3.290294e-04,0.000000e+00,6.336663e-03,2.784103e-03
0.140000,1.525727e-05,3.285178e-04,0.000000e+00,1.988064e-05,2.945800e-03
0.141000,1.874448e-03,4.012138e-04,0.000000e+00,1.846279e-03,1.666504e-03
0.142000,2.623000e-03,4.236182e-04,0.000000e+00,2.845214e-03,3.565437e-03
0.143000,6.243909e-04,3.311156e-04,0.000000e+00,6.160172e-04,4.382446e-03
0.144000,9.848379e-04,3.153329e-04,0.000000e+00,1.065712e-03,2.919371e-03
0.145000,7.574031e-03,3.298386e-04,0.000000e+00,7.586368e-03,7.373145e-03
0.146000,5.687873e-05,3.757288e-04,0.000000e+00,1.252153e-04,6.821631e-03
0.147000,3.113619e-03,4.123910e-04,0.000000e+00,3.486287e-03,3.950549e-03
0.148000,1.314942e-02,4.258845e-04,0.000000e+00,1.333973e-02,7.099971e-04
0.149000,1.203801e-03,4.068820e-04,0.000000e+00,1.495315e-03,1.382555e-03
0.150000,2.569446e-05,4.471540e-04,0.000000e+00,5.505529e-05,1.635906e-03
0.151000,5.314614e-05,4.726403e-04,0.000000e+00,2.773686e-05,1.552890e-03
0.152000,1.769993e-05,5.786555e-04,0.000000e+00,3.938084e-06,1.674936e-03
0.153000,2.646844e-03,4.697577e-04,0.000000e+00,2.887359e-03,3.074936e-03
0.154000,1.083570e-03,4.338509e-04,0.000000e+00,1.086332e-03,4.151846e-03
0.155000,3.838993e-06,4.194690e-04,0.000000e+00,1.099289e-05,3.936543e-03
0.156000,3.581976e-03,4.844642e-04,0.000000e+00,3.735044e-03,2.067033e-03
0.157000,1.116462e-03,4.271932e-04,0.000000e+00,1.037363e-03,1.195986e-03
0.158000,2.125616e-05,4.550049e-04,0.000000e+00,4.442431e-06,1.218325e-03
0.159000,3.518846e-07,5.222417e-04,0.000000e+00,1.002923e-05,1.403228e-03
0.160000,2.224366e-03,4.926592e-04,0.000000e+00,2.001109e-03,6.952374e-04
0.161000,5.100092e-03,5.628732e-04,0.000000e+00,5.723553e-03,2.275903e-03
0.162000,3.463541e-04,7.182109e-04,0.000000e+00,3.046560e-04,2.113256e-03
0.163000,3.868563e-03,7.493891e-04,0.000000e+00,3.642990e-03,9.491908e-04
0.164000,1.205562e-03,8.066607e-04,0.000000e+00,1.520224e-03,1.743604e-03
0.165000,6.181580e-03,7.169874e-04,0.000000e+00,5.766003e-03,5.437413e-04
0.166000,1.892161e-03,6.986977e-04,0.000000e+00,2.424783e-03,1.088473e-03
0.167000,3.560097e-03,8.099171e-04,0.000000e+00,4.023763e-03,2.427346e-03
0.168000,6.653727e-04,6.930428e-04,0.000000e+00,7.291829e-04,2.907132e-03
0.169000,2.045973e-06,5.470347e-04,0.000000e+00,2.343289e-06,2.590044e-03
0.170000,4.458678e-04,5.572867e-04,0.000000e+00,4.455384e-04,2.111667e-03
