t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.113000,1.020288e-03,1.892218e-04,0.000000e+00,1.696067e-03,4.735305e-03
0.114000,1.620274e-03,2.269600e-04,0.000000e+00,1.078982e-03,6.931230e-03
0.115000,3.268469e-03,2.275223e-04,0.000000e+00,4.381445e-03,2.451386e-03
0.116000,1.004351e-04,2.173726e-04,0.000000e+00,1.593075e-05,2.693799e-03
0.117000,4.004948e-03,2.112374e-04,1.562500e+01,3.249766e-03,6.507336e-03
0.118000,1.334701e-04,1.511274e-04,3.125000e+01,3.859508e-04,5.353528e-03
0.119000,1.725651e-04,1.511292e-04,0.000000e+00,4.909550e-04,3.898341e-03
0.120000,3.445472e-03,2.100609e-04,0.000000e+00,4.460097e-03,8.508251e-04
0.121000,1.338221e-03,1.740809e-04,0.000000e+00,9.909052e-04,2.042636e-03
0.122000,3.972645e-04,1.390574e-04,0.000000e+00,7.026839e-04,1.124214e-03
0.123000,9.323401e-03,1.728722e-04,1.562500e+01,8.304669e-03,5.481227e-03
0.124000,3.702241e-03,1.242787e-04,0.000000e+00,4.850328e-03,2.028559e-03
0.125000,2.217054e-03,1.392672e-04,0.000000e+00,2.791007e-03,4.455038e-04
0.126000,3.393959e-03,1.904846e-04,0.000000e+00,3.804784e-03,8.366819e-05
0.127000,3.974053e-04,3.015956e-04,0.000000e+00,3.701882e-04,2.113204e-05
0.128000,1.256476e-05,2.746865e-04,0.000000e+00,2.600884e-05,3.368413e-05
0.129000,9.328047e-05,2.898210e-04,0.000000e+00,1.209463e-04,1.169715e-04
0.130000,3.258659e-03,3.138118e-04,0.000000e+00,3.357687e-03,1.260370e-03
0.131000,1.179271e-02,3.515806e-04,0.000000e+00,1.216336e-02,1.201631e-04
0.132000,4.508758e-04,3.146937e-04,1.562500e+01,5.940764e-04,1.944452e-05
0.133000,1.690793e-04,2.776653e-04,0.000000e+00,2.093346e-04,2.334266e-05
0.134000,3.139288e-03,2.858369e-04,0.000000e+00,3.235104e-03,7.353514e-04
0.135000,1.485090e-03,3.717846e-04,0.000000e+00,1.362789e-03,1.945537e-03
0.136000,3.750441e-05,4.166909e-04,0.000000e+00,8.764797e-05,1.728232e-03
0.137000,2.572496e-08,4.449411e-04,0.000000e+00,7.284399e-06,1.700952e-03
0.138000,5.994577e-03,4.758279e-04,0.000000e+00,6.430569e-03,1.290447e-04
0.139000,3.363623e-03,5.679190e-04,0.000000e+00,3.286791e-03,8.340678e-05
0.140000,3.121919e-04,5.168236e-04,0.000000e+00,4.328984e-04,4.015061e-05
0.141000,1.967512e-03,6.146641e-04,0.000000e+00,1.770802e-03,3.583295e-04
